0x3105 0x3127 0x311d;bie
0x310a 0x3120;tao
0x310a 0x3121;tou
0x310a 0x3122;tan
0x310a 0x3124;tang
0x310a 0x3125;teng
0x310a 0x3127;ti
0x310a 0x3128;tu
0x310b 0x311a;na
0x310b 0x311c;ne
0x310b 0x311e;nai
0x310b 0x311f;nei
0x310b 0x3120;nao
0x310b 0x3121;nou
0x310b 0x3122;nan
0x310b 0x3123;nen
0x310b 0x3124;nang
0x310b 0x3125;neng
0x310b 0x3127;ni
0x310b 0x3128;nu
0x310b 0x3129;nv
0x310c 0x311a;la
0x310c 0x311c;le
0x310c 0x311e;lai
0x310c 0x311f;lei
0x310c 0x3120;lao
0x310c 0x3121;lou
0x310c 0x3122;lan
0x310c 0x3124;lang
0x310c 0x3125;leng
0x310c 0x3127;li
0x310c 0x3128;lu
0x310c 0x3129;lv
0x310d 0x311a;ga
0x310d 0x311c;ge
0x310d 0x311e;gai
0x310d 0x311f;gei
0x310d 0x3120;gao
0x310d 0x3121;gou
0x310d 0x3122;gan
0x310d 0x3123;gen
0x310d 0x3124;gang
0x310d 0x3125;geng
0x310d 0x3128;gu
0x310e 0x311a;ka
0x310e 0x311c;ke
0x310e 0x311e;kai
0x310e 0x3120;kao
0x310e 0x3121;kou
0x310e 0x3122;kan
0x310e 0x3123;ken
0x310e 0x3124;kang
0x310e 0x3125;keng
0x310e 0x3128;ku
0x310f 0x311a;ha
0x310f 0x311c;he
0x310f 0x311e;hai
0x310f 0x311f;hei
0x310f 0x3120;hao
0x310f 0x3121;hou
0x310f 0x3122;han
0x310f 0x3123;hen
0x310f 0x3124;hang
0x310f 0x3125;heng
0x310f 0x3128;hu
0x3110 0x3127;ji
0x3110 0x3129;ju
0x3111 0x3127;qi
0x3111 0x3129;qu
0x3112 0x3127;xi
0x3112 0x3129;xu
0x3113 0x311a;zha
0x3113 0x311c;zhe
0x3113 0x311e;zhai
0x3113 0x3120;zhao
0x3113 0x3121;zhou
0x3113 0x3122;zhan
0x3113 0x3123;zhen
0x3113 0x3124;zhang
0x3113 0x3125;zheng
0x3113 0x3128;zhu
0x3114 0x311a;cha
0x3114 0x311c;che
0x3114 0x311e;chai
0x3114 0x3120;chao
0x3114 0x3121;chou
0x3114 0x3122;chan
0x3114 0x3123;chen
0x3114 0x3124;chang
0x3114 0x3125;cheng
0x3114 0x3128;chu
0x3115 0x311a;sha
0x3115 0x311c;she
0x3115 0x311e;shai
0x3115 0x311f;shei
0x3115 0x3120;shao
0x3115 0x3121;shou
0x3115 0x3122;shan
0x3115 0x3123;shen
0x3115 0x3124;shang
0x3115 0x3125;sheng
0x3115 0x3128;shu
0x3116 0x311c;re
0x3116 0x3120;rao
0x3116 0x3121;rou
0x3116 0x3122;ran
0x3116 0x3123;ren
0x3116 0x3124;rang
0x3116 0x3125;reng
0x3116 0x3128;ru
0x3117 0x311a;za
0x3117 0x311c;ze
0x3117 0x311e;zai
0x3117 0x311f;zei
0x3117 0x3120;zao
0x3117 0x3121;zou
0x3117 0x3122;zan
0x3117 0x3123;zen
0x3117 0x3124;zang
0x3117 0x3125;zeng
0x3117 0x3128;zu
0x3118 0x311a;ca
0x3118 0x311c;ce
0x3118 0x311e;cai
0x3118 0x3120;cao
0x3118 0x3121;cou
0x3118 0x3122;can
0x3118 0x3123;cen
0x3118 0x3124;cang
0x3118 0x3125;ceng
0x3118 0x3128;cu
0x3119 0x311a;sa
0x3119 0x311c;se
0x3119 0x311e;sai
0x3119 0x3120;sao
0x3119 0x3121;sou
0x3119 0x3122;san
0x3119 0x3123;sen
0x3119 0x3124;sang
0x3119 0x3125;seng
0x3119 0x3128;su
0x3127 0x311a;ya
0x3127 0x311b;yo
0x3127 0x311d;ye
0x3127 0x311e;yai
0x3127 0x3120;yao
0x3127 0x3121;you
0x3127 0x3122;yan
0x3127 0x3123;yin
0x3127 0x3124;yang
0x3127 0x3125;ying
0x3128 0x311a;wa
0x3128 0x311b;wo
0x3128 0x311e;wai
0x3128 0x311f;wei
0x3128 0x3122;wan
0x3128 0x3123;wen
0x3128 0x3124;wang
0x3128 0x3125;weng
0x3129 0x311d;yue
0x3129 0x3122;yuan
0x3129 0x3123;yun
0x3129 0x3125;yong
0x3113;zhi
0x3114;chi
0x3115;shi
0x3116;ri
0x3117;zi
0x3118;ci
0x3119;si
0x311a;a
0x311b;o
0x311c;e
0x311e;ai
0x311f;ei
0x3120;ao
0x3109 0x311f;dei
0x3121;ou
0x3122;an
0x3123;en
0x3124;ang
0x3126;er
0x3127;yi
0x3128;wu
0x3129;yu
0x3109 0x3127 0x311a;dia
0x310c 0x3127 0x311a;lia
0x310c 0x311b;lo
